Query,Title,ID,BM25 Score,SBERT Score
aaa game,dreamhouse: the game,16249,7.5605152236719215,0.0
aaa game,niche: a genetics survival game,31498,8.561190342507174,0.0
aaa game,starting the game,31395,8.598684049139198,0.0
aaa game,luna game,13604,8.598684049139198,0.0
aaa game,world war ii: prisoner of war,37970,0.0,0.3736221194267273
aaa game,ball park,24408,0.0,0.3736250102519989
aaa game,play boy,15216,0.0,0.3746821880340576
aaa game,the boondock saints video game,29629,0.0,0.37516528367996216
aaa game,sky force,29856,0.0,0.37553870677948
aaa game,pro golf,25665,0.0,0.37588590383529663
aaa game,highrise - your avatar community,19870,0.0,0.37652403116226196
aaa game,batman: arkham origins mobile,26224,0.0,0.37675416469573975
aaa game,the playroom 2,12929,0.0,0.3767969310283661
aaa game,handyworker's tale,38079,0.0,0.3775351643562317
aaa game,batman & robin,34011,0.0,0.37835222482681274
aaa game,plunder pirates,31071,0.0,0.3788500428199768
aaa game,major league baseball,14010,0.0,0.3803837299346924
aaa game,blackout z,37542,0.0,0.38070183992385864
aaa game,battle of heroes: land of immortals,30324,0.0,0.38172316551208496
aaa game,zig zag ball,17155,0.0,0.3826864957809448
aaa game,breakout: boost,22726,0.0,0.3831312656402588
aaa game,power league ii,39596,0.0,0.383211612701416
aaa game,snake's game,37100,8.548557019215373,0.0
aaa game,farscape: the game,34134,8.409374669834765,0.0
aaa game,kingyo chuuihou! tobidase! game gakuen,11020,8.32490826389022,0.0
aaa game,the torture game 2,32424,8.196982111407735,0.0
aaa game,game 1,25073,12.45826512787071,0.0
aaa game,vampiromania: o game,16206,12.345146090324683,0.0
aaa game,lil gator game,809,12.271279380097514,0.0
aaa game,[remove] crane game toreba,10045,12.271279380097514,0.0
aaa game,alhambra game,12169,12.271279380097514,0.0
aaa game,rena game,27699,12.271279380097514,0.0
aaa game,game soup,14182,9.423068703316572,0.0
aaa game,game hero,20696,9.006933071946248,0.0
aaa game,steam and sacrilege,33048,0.0,0.3717042803764343
aaa game,dice game,12156,8.936484603208816,0.0
aaa game,hasbro family game night: battleship,17846,0.0,0.38332998752593994
aaa game,the itchy & scratchy game,9546,8.81064802403199,0.0
aaa game,coloring game 2,32131,7.956000590719332,0.0
aaa game,game.exe,19403,7.984063204451829,0.0
