Original Query,ID,BM25 Score,SBERT Score,rating_signal,popularity_signal,recency_signal,genre_match,platform_match,Label,rating_boost,popularity_boost,recency_boost,predicted_score,Title,Genres,Platforms,Rating,Release_Date
AAA games,6583,7.444828144875795,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8899611030569712,Game Room,"['Arcade', 'Simulator']","['Windows PC', 'Xbox 360']",1.9,"Mar 24, 2010"
AAA games,35394,7.931502483513225,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5914412428465903,That Smiling Game,Indie | Point-and-Click,Web browser,,"Mar 08, 2020"
AAA games,17916,8.10281411594742,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3301575238862436,A Game With a Kitty,Platform,Windows PC,,"Jun 24, 2005"
AAA games,31048,0.0,0.3852575421333313,0.0,0.0,,0,0,0,0,0,0,-0.03659642195069386,,,,,
AAA games,17675,0.0,0.3839804232120514,0.0,0.0,,0,0,0,0,0,0,-0.03659642195069386,,,,,
AAA games,27137,0.0,0.3865833580493927,0.0,0.0,0.0,1,0,0,0,0,0,-0.41491915757981124,Discsphere,[],['Windows PC'],,"May 21, 2019"
AAA games,38079,0.0,0.3775351643562317,0.0,0.0,,1,1,0,0,0,0,-0.9026899393940381,Handyworker's Tale,[],[],,TBD
AAA games,37970,0.0,0.3736221194267273,0.0,0.0,,1,1,0,0,0,0,-0.9026899393940381,World War II: Prisoner of War,[],[],,TBD
AAA games,40184,0.0,0.3712148070335388,0.0,0.0,,1,1,0,0,0,0,-0.9026899393940381,Stealth Inc. 2: A Game of Clones Deluxe,[],[],,TBD
AAA games,10148,15.699160438212456,0.0,0.0,0.0,,0,0,2,0,0,0,-1.2214874405764744,Bigfield 2042,Adventure | Indie | Simulator,,,TBD
Anime-inspired ARPGs on Switch,23151,9.183559705890138,0.0,0.0,0.0,0.0,0,0,2,0,0,0,1.093022601158963,Anime Studio Simulator,Indie | Simulator,Windows PC | Mac | Linux,2.0,"Nov 02, 2016"
Anime-inspired ARPGs on Switch,24324,7.317142014439666,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.8899611030569712,Loot Box Simulator: RPG Anime Girls,Arcade | Card & Board Game | Puzzle | Simulator,Nintendo Switch,,"Oct 13, 2022"
Anime-inspired ARPGs on Switch,20119,17.086272386618862,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.7949467681224903,70's Robot Anime Geppy-X,,PlayStation,4.2,"May 27, 1999"
Anime-inspired ARPGs on Switch,5150,8.667445073418284,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.7201730439173235,Anime Music Quiz,Music | Quiz/Trivia,Web browser,2.9,"Dec 31, 2018"
